#    n            s1         s2        s3          s4         s5         s6         s7         s8         s9        s10
#
#
     46000    482415          0          0          0    3500363    3520320          0    7309130     571282          0     943952          0          0          0   18794864   48821968          0  113613392   14471232          0 
     47000    542803          0          0          0    3455293    4583881          0    7384327     582260          0     943952          0          0          0   19297448   50835984          0  118586440   14785824          0 
     48000    505227          0          0          0    3548467    4116201          0    7554143     593916          0     943952          0          0          0   19804032   53094072          0  123649888   15100416          0 
     49000    513666          0          0          0    3589096    3819086          0    7850748     636427          0     943952          0          0          0   20314616   55352160          0  128883856   15415008          0 
     50000    523386          0          0          0    3674235    4059860          0    8164952     620657          0     943952          0          0          0   20829200   57798328          0  134172680   15729600          0 
     51000    535012          0          0          0    3803262    4012413          0    8153767     645665          0     943952          0          0          0   21347784   60112648          0  139564320   16044192          0 
     52000    544090          0          0          0    3827171    4954178          0    8244893     644200          0     943952          0          0          0   21870368   62530712          0  145095960   16358784          0 
     53000    553590          0          0          0    3906832    4127579          0    8481256     735194          0     943952          0          0          0   22396952   64882528          0  150790320   16673376          0 
     54000    565755          0          0          0    3975229    4220976          0    8667902     681525          0     943952          0          0          0   22927536   67259344          0  156567600   16987968          0 
     55000    578862          0          0          0    4073968    4389846          0    8821956     700051          0     943952          0          0          0   23462120   69663952          0  162386048   17302560          0 
     56000    597559          0          0          0    4083334    4487478          0    8959933     708010          0     943952          0          0          0   24000704   72154488          0  168323248   17617152          0 
     57000    609947          0          0          0    4176056    4555780          0    9379788     704712          0     943952          0          0          0   24543288   74642832          0  174391560   17931744          0 
     58000    605820          0          0          0    4313461    4522173          0    9355200     747556          0     943952          0          0          0   25089872   77131176          0  180570640   18246336          0 
     59000    619481          0          0          0    4343185    4746309          0    9445632     744740          0     943952          0          0          0   25640456   79703856          0  186893048   18560928          0 
     60000    644280          0          0          0    4429521    4756322          0    9597862     741242          0     943952          0          0          0   26195040   82276536          0  193320440   18875520          0 
     61000    639374          0          0          0    4471299    4875705          0    9779601     754437          0     943952          0          0          0   26753624   84849216          0  199896208   19190112          0 
     62000    646162          0          0          0    4699466    5137904          0    9985040     789203          0     943952          0          0          0   27316208   87478128          0  206570264   19504704          0 
     63000    659781          0          0          0    4609214    4956488          0   18184640     808309          0     943952          0          0          0   27882792   90107040          0  213388944   19819296          0 
     64000    669217          0          0          0    4727151    4992046          0   10913516     815100          0     943952          0          0          0   28453376   92773448          0  220295360   20133888          0 
     65000    685468          0          0          0    6191913    5094616          0   10921409     806738          0     943952          0          0          0   29027960   95464856          0  227350848   20448480          0 
     66000    689395          0          0          0    4908863    5192277          0   10742606     814508          0     943952          0          0          0   29606544   98172936          0  234490000   20763072          0 
     67000    700324          0          0          0    5323983    5123814          0   10836556     825062          0     943952          0          0          0   30189128  100980800          0  241734664   21077664          0 
     68000    751332          0          0          0    5010267    5325354          0   11166945     850250          0     943952          0          0          0   30775712  103783736          0  249062120   21392256          0 
     69000    732104          0          0          0    5073496    5370602          0   11501651     849054          0     943952          0          0          0   31366296  106586672          0  256532416   21706848          0 
     70000    736326          0          0          0    5143134    5448425          0   11304914     877719          0     943952          0          0          0   31960880  109473944          0  264169024   22021440          0 
     71000    736464          0          0          0    5238349    5579746          0   11568433     895963          0     943952          0          0          0   32559464  112361216          0  271867016   22336032          0 
     72000    760739          0          0          0    5269700    5713068          0   11693383     904576          0     943952          0          0          0   33162048  115675344          0  279609904   22650624          0 
     73000    761040          0          0          0    5415390    5860013          0   11860330     901240          0     943952          0          0          0   33768632  119045704          0  287471688   22965216          0 
     74000    772060          0          0          0    5432020    6250842          0   12107620     924515          0     943952          0          0          0   34379216  122416064          0  295494344   23270536          0 
     75000    783057          0          0          0   11329171    6198082          0   13825338     945583          0     943952          0          0          0   34984528  125902920          0  303587912   23868688          0 
     76000    866654          0          0          0    5615727    6273317          0   12331089     961917          0     943952          0          0          0   35586656  129321536          0  311866216   24465624          0 
     77000    812110          0          0          0    5634846    6251531          0   12945453     974491          0     943952          0          0          0   36187568  132791976          0  320191184   25064760          0 
     78000    828612          0          0          0    6075336    6234021          0   12627525     984591          0     943952          0          0          0   36790680  136310048          0  328602736   25665072          0 
     79000    836197          0          0          0    5804820    6317673          0   12981067     995343          0     943952          0          0          0   37394968  139812352          0  337132240   26268960          0 
     80000   1068898          0          0          0    5847217    6294089          0   14018368    1012364          0     943952          0          0          0   38002832  143353184          0  345792752   26878560          0 
     81000    884139          0          0          0    7272923    6443235          0   13142004    1064382          0     943952          0          0          0   38616408  146910000          0  354552632   27492720          0 
     82000    867694          0          0          0    6518282    6548413          0   13323715    1036148          0     943952          0          0          0   39234544  150499736          0  363439800   28109976          0 
     83000    902274          0          0          0    6153937    6761995          0   13606015    1071439          0     943952          0          0          0   39855776  154114936          0  372419256   28729296          0 
     84000    874484          0          0          0    6123330    6521419          0   13717195    1077722          0     943952          0          0          0   40479072  157777032          0  381506016   29349528          0 
     85000    902413          0          0          0    6375834    7794625          0   13885830    1074263          0     943952          0          0          0   41103280  161502760          0  390689312   29969696          0 
     86000    910035          0          0          0    6361207    6896294          0   14006250    1083987          0     943952          0          0          0   41727424  165199976          0  400010416   30595080          0 
     87000    911083          0          0          0    6447317    6877629          0   14153960    1116172          0     943952          0          0          0   42356784  168967152          0  409418080   31228064          0 
     88000    916805          0          0          0    6466605    6986536          0   14703433    1120484          0     943952          0          0          0   42993744  172767128          0  418944792   31867408          0 
     89000    925169          0          0          0    6510633    7159964          0   14539150    1128641          0     943952          0          0          0   43637064  176589984          0  428585184   32508632          0 
     90000    945420          0          0          0    6562879    7107834          0   14762188    1147183          0     943952          0          0          0   44282264  180399880          0  438347096   33156968          0 
     91000    974731          0          0          0    6655303    6952742          0   14854279    1154502          0     943952          0          0          0   44934576  184238672          0  448216840   33811312          0 
     92000    957668          0          0          0    6794125    7393230          0   15034323    1179052          0     943952          0          0          0   45592896  188177008          0  458251232   34469976          0 
     93000    984701          0          0          0    6805225    7531313          0   16012605    1183678          0     943952          0          0          0   46255536  192079920          0  468352816   35132288          0 
     94000    979535          0          0          0    7286975    7395108          0   16089309    1205299          0     943952          0          0          0   46921824  196009016          0  478584632   35796952          0 
     95000    987300          0          0          0    6964070    7459470          0   15740595    1200951          0     943952          0          0          0   47590464  199956720          0  489017760   36465112          0 
     96000   1029337          0          0          0    7016068   10172850          0   16975462    1224738          0     943952          0          0          0   48262600  203962112          0  499512616   37133152          0 
     97000   1015507          0          0          0    7116033    7671157          0   16206975    1227236          0     943952          0          0          0   48934616  208018328          0  510099872   37803256          0 
     98000   1034179          0          0          0    7211168    7665873          0   16380132    1230717          0     943952          0          0          0   49608696  212061120          0  520845288   38474008          0 
     99000   1030853          0          0          0    7275421    7804618          0   16506399    1281687          0     943952          0          0          0   50283424  216133976          0  531687728   39147440          0 
    100000   1049235          0          0          0    7299704    7889219          0   16466196    1415936          0     943952          0          0          0   50960832  220236448          0  542665872   39825152          0 
    101000   1075247          0          0          0    7404832    7678672          0   16555991    1276390          0     943952          0          0          0   51642520  224370440          0  553735288   40511864          0 
    102000   1061122          0          0          0    7443932    8065488          0   16722832    1388439          0     943952          0          0          0   52333208  228528432          0  564895216   41204032          0 
    103000   1082829          0          0          0    7655132    7979046          0   16942935    1357303          0     943952          0          0          0   53029352  232703528          0  576188464   41900480          0 
    104000   1081771          0          0          0    7679875    8204848          0   17086411    1300923          0     943952          0          0          0   53729776  236910144          0  587598536   42600176          0 
    105000   1109292          0          0          0    7770135    8240285          0   17228337    1325098          0     943952          0          0          0   54433448  241141784          0  599113664   43302232          0 
    106000   1115545          0          0          0    7823072   16311387          0   21718669    1342680          0     943952          0          0          0   55139480  245413848          0  610742480   44005704          0 
    107000   1129222          0          0          0    7815382    8615894          0   18343152    1346041          0     943952          0          0          0   55846928  250388688          0  622499864   44714808          0 
